#   Enu		   cross-section
   1.80999994       5.93206733E-02
   1.82637990      0.140377969    
   1.84275997      0.195996240    
   1.85913992      0.244605586    
   1.87551999      0.290076077    
   1.89189994      0.334005237    
   1.90827990      0.377163947    
   1.92465997      0.420064628    
   1.94103992      0.463008583    
   1.95741999      0.506180346    
   1.97379994      0.549745500    
   1.99017990      0.593816698    
   2.00655985      0.638442218    
   2.02293992      0.683726490    
   2.03931999      0.729663670    
   2.05569983      0.776335776    
   2.07207990      0.823777080    
   2.08845997      0.872003973    
   2.10484004      0.921018362    
   2.12121987      0.970884085    
   2.13759995       1.02154231    
   2.15398002       1.07310438    
   2.17035985       1.12549424    
   2.18673992       1.17876327    
   2.20311999       1.23290086    
   2.21949983       1.28794312    
   2.23587990       1.34387577    
   2.25225997       1.40067387    
   2.26864004       1.45841587    
   2.28501987       1.51707184    
   2.30139995       1.57658935    
   2.31778002       1.63703239    
   2.33415985       1.69839942    
   2.35053992       1.76067793    
   2.36691999       1.82386470    
   2.38329983       1.88800192    
   2.39967990       1.95303833    
   2.41605997       2.01901865    
   2.43243980       2.08593869    
   2.44881988       2.15378952    
   2.46519995       2.22252965    
   2.48157978       2.29220033    
   2.49795985       2.36284328    
   2.51433992       2.43441010    
   2.53072000       2.50689054    
   2.54710007       2.58034420    
   2.56347990       2.65466094    
   2.57985997       2.72999120    
   2.59624004       2.80617881    
   2.61261988       2.88332891    
   2.62899995       2.96143341    
   2.64538002       3.04043436    
   2.66175985       3.12039351    
   2.67813993       3.20130038    
   2.69452000       3.28310561    
   2.71089983       3.36586404    
   2.72727990       3.44955730    
   2.74365997       3.53419995    
   2.76003981       3.61978197    
   2.77641988       3.70631266    
   2.79279995       3.79377079    
   2.80917978       3.88212395    
   2.82555985       3.97141075    
   2.84193993       4.06168032    
   2.85831976       4.15289164    
   2.87470007       4.24498177    
   2.89107990       4.33805227    
   2.90745974       4.43205833    
   2.92384005       4.52694130    
   2.94021988       4.62286234    
   2.95659995       4.71959305    
   2.97298002       4.81730938    
   2.98935986       4.91600847    
   3.00573993       5.01562929    
   3.02212000       5.11611986    
   3.03849983       5.21752596    
   3.05487967       5.31996775    
   3.07125998       5.42328072    
   3.08763981       5.52750254    
   3.10401988       5.63270998    
   3.12039995       5.73888731    
   3.13677979       5.84597731    
   3.15315986       5.95392561    
   3.16953993       6.06284952    
   3.18591976       6.17274809    
   3.20229983       6.28343630    
   3.21867990       6.39510107    
   3.23505974       6.50780106    
   3.25144005       6.62133598    
   3.26781988       6.73591423    
   3.28419995       6.85126972    
   3.30058002       6.96766281    
   3.31695986       7.08490086    
   3.33333993       7.20315599    
   3.34972000       7.32239914    
   3.36609983       7.44234514    
   3.38247991       7.56339502    
   3.39885998       7.68527412    
   3.41523981       7.80798912    
   3.43161964       7.93180323    
   3.44799995       8.05657959    
   3.46437979       8.18219280    
   3.48075986       8.30876827    
   3.49713993       8.43630505    
   3.51351976       8.56455803    
   3.52989984       8.69388676    
   3.54627991       8.82417679    
   3.56265974       8.95531464    
   3.57903981       9.08753204    
   3.59541988       9.22045422    
   3.61179972       9.35445309    
   3.62818003       9.48929882    
   3.64455986       9.62508106    
